location,latitude,longitude
East tambaram,12.92134,80.127403
West tambaram,12.92509,80.100868
Tambaram Santorium,12.94307,80.1332
Chrompet,12.953195,80.141602
Pallavaram,12.97254,80.153069
Tirisulam,12.97822,80.16347
Minampakam,13.07209,80.20186
St. Thomas Mount,13.00707,80.1919
Guindy,13.01176,80.221481
Saidhapet,13.12206,80.14675
Mambalam,13.0089,80.217369
Kodambakkam,13.0474,80.224609
Nungambakkam,13.05409,80.249458
Chetpet,13.07786,80.25121
Chennai Egmore,13.07644,80.260139
Chennai Park,13.08467,80.27013
Chennai Central,13.07752,80.27631
Chennai Beach,13.00261,80.2724
Perungalathur,12.904759,80.089081
Vandallur,12.89747,80.08833
Guduvancherry,12.843923,80.061584
Potheri,12.82136,80.053543
Chengalpattu,12.69362,79.980499
